key,en
(automatic),(automatic)
(environmental),(environmental)
0 = cool / blue (boosts greens) · 0.5 = neutral · 1.0 = warm / red (boosts reds).,0 = cool / blue (boosts greens) · 0.5 = neutral · 1.0 = warm / red (boosts reds).
0 = off · 0.3 = passive · 0.6 = medium · 1.0 = pressurized. Higher CO2 makes red plants redden and stems pearl visibly.,0 = off · 0.3 = passive · 0.6 = medium · 1.0 = pressurized. Higher CO2 makes red plants redden and stems pearl visibly.
0 residents,0 residents
A fish here can develop a voice,A fish here can develop a voice
ADOPT,ADOPT
ADOPTED,ADOPTED
AI Director unavailable.,AI Director unavailable.
AI design helper missing — rolling random instead.,AI design helper missing — rolling random instead.
AI returned an empty design — rolling random instead.,AI returned an empty design — rolling random instead.
AIDirector unavailable. Restart the app and try again.,AIDirector unavailable. Restart the app and try again.
Adjust how tightly fish school and spread through the tank. Sliders snap to preset steps — changes apply immediately.,Adjust how tightly fish school and spread through the tank. Sliders snap to preset steps — changes apply immediately.
Algae bloom bitcrushes the synth; aggression hardens the bass clip; aeration low cuts the kick like the pump is the metronome; key shifts every in-game day.,Algae bloom bitcrushes the synth; aggression hardens the bass clip; aeration low cuts the kick like the pump is the metronome; key shifts every in-game day.
All set. Your fish will start getting AI-flavored names within a few seconds. You can come back here any time to switch the model or turn AI off.,All set. Your fish will start getting AI-flavored names within a few seconds. You can come back here any time to switch the model or turn AI off.
Amplify fauna sheen (SSS + iridescence),Amplify fauna sheen (SSS + iridescence)
"Applies to newly created tanks only — cycled chemistry, biofilm patina, mixed ages.","Applies to newly created tanks only — cycled chemistry, biofilm patina, mixed ages."
Auto-adjust fidelity to hit target FPS,Auto-adjust fidelity to hit target FPS
Auto-feed (screensaver mode — simulates ⌘+click feeding),Auto-feed (screensaver mode — simulates ⌘+click feeding)
Auto-orbit (cinematic spin),Auto-orbit (cinematic spin)
Auto-respawn when tank is empty (~6 fish + cleanup crew),Auto-respawn when tank is empty (~6 fish + cleanup crew)
Auto-rotate,Auto-rotate
Auto-tour your creatures — advances every few seconds when idle,Auto-tour your creatures — advances every few seconds when idle
Bank lock restricts each pixel to a local palette slice for a truer 8-bit look.,Bank lock restricts each pixel to a local palette slice for a truer 8-bit look.
Bass · Mid · Treble · Beat,Bass · Mid · Treble · Beat
"Battery saver (caps at 30fps, lighter visuals)","Battery saver (caps at 30fps, lighter visuals)"
Blur background while following a creature,Blur background while following a creature
Blur foreground (near DOF),Blur foreground (near DOF)
"Boosts bloom, vignette, and glow while saving a capture.","Boosts bloom, vignette, and glow while saving a capture."
